path,title,modul,kategoria,alkalmazas,cluster,risk,fr_count,fr_codes
EXCMD/2026-05-20_2026-06-01_modulfejlesztes_kodrevizio_javitasi_terv.md,2026.05.20-2026.06.01 modulfejlesztes kodrevizio es javitasi terv,2026-05-20_2026-06-01_modulfejlesztes_kodrevizio_javitasi_terv,business,penztar-client,business,Magas,0,
EXCMD/2026-06-01_audit-verifikacio-eredmeny.md,2026-06-01 — Audit-verifikáció eredménye (a 2026-05-20…06-01 modulfejlesztés zárása),2026-06-01_audit-verifikacio-eredmeny,business,penztar-client,business,Magas,0,
EXCMD/2026-06-02_tranzakcio_keszlet_allampolgarsag_savos_arfolyam_kezelesi_dij_audit_javitasi_utasitas.md,2026-06-02 tranzakciós hibák - tényalapú kódaudit és javítási utasítás,2026-06-02_tranzakcio_keszlet_allampolgarsag_savos_arfolyam_kezelesi_dij_audit_javitasi_utasitas,business,penztar-client,business,Magas,0,
EXCMD/_compare/00-KONSZOLIDALT-GAPS.md,Konszolidált gap-backlog — EXCMD spec ↔ jelenlegi program,00-KONSZOLIDALT-GAPS,business,penztar-client,business,Magas,0,
EXCMD/_compare/02-TELJES-LEFEDETTSEG-DISPOZICIO.md,Teljes forrás-lefedettség diszpozíció (416 fájl → 160 egyedi),02-TELJES-LEFEDETTSEG-DISPOZICIO,business,penztar-client,business,Magas,0,
EXCMD/_compare/2026-06-02-media-module-content-extracts.md,Modulonkénti OCR/ASR kivonat (2026-06-02),2026-06-02-media-module-content-extracts,business,penztar-client,business,Kozepes,0,
EXCMD/_compare/2026-06-02-media-processing-pass.md,Automatikus Média-Feldolgozó Passz (2026-06-02),2026-06-02-media-processing-pass,business,penztar-client,business,Kozepes,0,
EXCMD/_compare/2026-06-02-source-truth-revalidation.md,Source-of-Truth Revalidáció (2026-06-02),2026-06-02-source-truth-revalidation,business,penztar-client,business,Alacsony,0,
EXCMD/_compare/c1-rfm-rate.md,C1 — RFM (Árfolyamkészítő) spec ↔ kód összevetés,c1-rfm-rate,business,penztar-client,business,Magas,0,
EXCMD/_compare/c2-sztorno-zaras.md,C2 — Sztornó + Zárás szakaszonkénti összevetés (spec ↔ kód),c2-sztorno-zaras,business,penztar-client,business,Magas,0,
EXCMD/_compare/c3-foglalo-bizonylat-engedely.md,C3 összevetés — Foglaló (b4-foglalo) + Bizonylatok (b4-bizonylatok) + Engedélyezés-adatok (b3),c3-foglalo-bizonylat-engedely,business,penztar-client,business,Magas,0,
EXCMD/_compare/c4-menu-penztarmuveletek.md,C4 — Menü + pénztárműveletek: EXCMD-spec vs tényleges kód összevetés,c4-menu-penztarmuveletek,business,penztar-client,business,Magas,0,
EXCMD/_compare/c5-beallitas-munkavallalo-compliance.md,C5 összevetés — Beállítások (b6) + Munkavállaló-nyilvántartás (b9) + Körlevelek/compliance (b9),c5-beallitas-munkavallalo-compliance,business,penztar-client,business,Magas,0,
EXCMD/_compare/c6-igenyfelmeres-riportok.md,C6 — Igényfelmérés + Riportok: EXCMD spec vs. tényleges kód,c6-igenyfelmeres-riportok,business,penztar-client,business,Magas,0,
EXCMD/_inventory/00-coverage-map.md,Felmérés/Valuta — fájl-leltár + lefedettség-térkép,00-coverage-map,business,penztar-client,business,Magas,0,
EXCMD/_inventory/01-dedup-finding.md,"Dedup-felfedezés — a 287 ""primer"" valós egyedi tartalma (2026-05-22)",01-dedup-finding,business,penztar-client,business,Kozepes,0,
EXCMD/AI-fejlesztesi-protokoll.md,AI fejlesztesi protokoll (EXCMD alapu),AI-fejlesztesi-protokoll,business,penztar-client,business,Magas,0,
EXCMD/b1-arfolyamkeszito-kepernyok.md,Árfolyamkészítő (RFM) — Képernyők,b1-arfolyamkeszito-kepernyok,arfolyamkeszito,arfolyam-keszito-client,business,Magas,24,FR-RFMUI-01;FR-RFMUI-02;FR-RFMUI-03;FR-RFMUI-04;FR-RFMUI-05;FR-RFMUI-06;FR-RFMUI-07;FR-RFMUI-08;FR-RFMUI-09;FR-RFMUI-10;FR-RFMUI-11;FR-RFMUI-12;FR-RFMUI-13;FR-RFMUI-14;FR-RFMUI-15;FR-RFMUI-16;FR-RFMUI-17;FR-RFMUI-18;FR-RFMUI-19;FR-RFMUI-20;FR-RFMUI-21;FR-RFMUI-22;FR-RFMUI-23;FR-RFMUI-24
EXCMD/b1-arfolyamkeszito-kovetelmenylista.md,Modul: Árfolyamkészítő (RFM) — Követelménylista,b1-arfolyamkeszito-kovetelmenylista,business,penztar-client,business,Magas,30,FR-RFM-01;FR-RFM-02;FR-RFM-03;FR-RFM-04;FR-RFM-05;FR-RFM-06;FR-RFM-07;FR-RFM-08;FR-RFM-09;FR-RFM-10;FR-RFM-11;FR-RFM-12;FR-RFM-13;FR-RFM-14;FR-RFM-15;FR-RFM-16;FR-RFM-17;FR-RFM-18;FR-RFM-19;FR-RFM-20;FR-RFM-21;FR-RFM-22;FR-RFM-23;FR-RFM-24;FR-RFM-25;FR-RFM-26;FR-RFM-27;FR-RFM-28;FR-RFM-29;FR-RFM-30
EXCMD/b10-egyeb-nem-funkcionalis.md,"Modul: Egyéb nem-funkcionális források (szótárak, beosztás, licenc, infra, chat-zaj)",b10-egyeb-nem-funkcionalis,business,penztar-client,business,Magas,0,
EXCMD/b10-hardver-halozati-felmeres.md,Modul: Hardver- és hálózati felmérés,b10-hardver-halozati-felmeres,business,penztar-client,business,Magas,0,
EXCMD/b10-zalog-kulon-termek.md,Modul: EXPRESSZ ZÁLOG (zálogos külön termék) — forrás-katalógus,b10-zalog-kulon-termek,business,penztar-client,business,Magas,0,
