"path","title","modul","kategoria","alkalmazas","cluster","risk","fr_count","fr_codes"
"EXCMD/b1-arfolyamkeszito-kepernyok.md","Árfolyamkészítő (RFM) — Képernyők","b1-arfolyamkeszito-kepernyok","arfolyamkeszito","arfolyam-keszito-client","business","Magas","24","FR-RFMUI-01;FR-RFMUI-02;FR-RFMUI-03;FR-RFMUI-04;FR-RFMUI-05;FR-RFMUI-06;FR-RFMUI-07;FR-RFMUI-08;FR-RFMUI-09;FR-RFMUI-10;FR-RFMUI-11;FR-RFMUI-12;FR-RFMUI-13;FR-RFMUI-14;FR-RFMUI-15;FR-RFMUI-16;FR-RFMUI-17;FR-RFMUI-18;FR-RFMUI-19;FR-RFMUI-20;FR-RFMUI-21;FR-RFMUI-22;FR-RFMUI-23;FR-RFMUI-24"
"EXCMD/b1-arfolyamkeszito-kovetelmenylista.md","Modul: Árfolyamkészítő (RFM) — Követelménylista","b1-arfolyamkeszito-kovetelmenylista","business","penztar-client","business","Magas","30","FR-RFM-01;FR-RFM-02;FR-RFM-03;FR-RFM-04;FR-RFM-05;FR-RFM-06;FR-RFM-07;FR-RFM-08;FR-RFM-09;FR-RFM-10;FR-RFM-11;FR-RFM-12;FR-RFM-13;FR-RFM-14;FR-RFM-15;FR-RFM-16;FR-RFM-17;FR-RFM-18;FR-RFM-19;FR-RFM-20;FR-RFM-21;FR-RFM-22;FR-RFM-23;FR-RFM-24;FR-RFM-25;FR-RFM-26;FR-RFM-27;FR-RFM-28;FR-RFM-29;FR-RFM-30"
"EXCMD/b2-sztorno.md","Modul: Sztornókezelés","b2-sztorno","business","penztar-client","business","Magas","19","FR-SZT-01;FR-SZT-02;FR-SZT-03;FR-SZT-04;FR-SZT-05;FR-SZT-06;FR-SZT-07;FR-SZT-08;FR-SZT-09;FR-SZT-10;FR-SZT-11;FR-SZT-12;FR-SZT-13;FR-SZT-14;FR-SZT-15;FR-SZT-16;FR-SZT-17;FR-SZT-18;FR-SZT-19"
"EXCMD/b2-zaras-ablak.md","Modul: Zárás Ablak (zárás-wizard)","b2-zaras-ablak","business","penztar-client","business","Magas","23","FR-ZAR-01;FR-ZAR-02;FR-ZAR-03;FR-ZAR-04;FR-ZAR-05;FR-ZAR-06;FR-ZAR-07;FR-ZAR-08;FR-ZAR-09;FR-ZAR-10;FR-ZAR-11;FR-ZAR-12;FR-ZAR-13;FR-ZAR-14;FR-ZAR-15;FR-ZAR-16;FR-ZAR-17;FR-ZAR-18;FR-ZAR-19;FR-ZAR-20;FR-ZAR-21;FR-ZAR-22;FR-ZAR-23"
"EXCMD/b2-zaras-kepernyok-bizonylatok.md","Zárás-képernyők és zárási bizonylatok (napi/dekád/havi/értéktári + címletezés)","b2-zaras-kepernyok-bizonylatok","zaras","penztar-client","business","Magas","30","FR-ZARUI-01;FR-ZARUI-02;FR-ZARUI-03;FR-ZARUI-04;FR-ZARUI-05;FR-ZARUI-06;FR-ZARUI-07;FR-ZARUI-08;FR-ZARUI-09;FR-ZARUI-10;FR-ZARUI-11;FR-ZARUI-12;FR-ZARUI-13;FR-ZARUI-14;FR-ZARUI-15;FR-ZARUI-16;FR-ZARUI-17;FR-ZARUI-18;FR-ZARUI-19;FR-ZARUI-20;FR-ZARUI-21;FR-ZARUI-22;FR-ZARUI-23;FR-ZARUI-24;FR-ZARUI-25;FR-ZARUI-26;FR-ZARUI-27;FR-ZARUI-28;FR-ZARUI-29;FR-ZARUI-30"
"EXCMD/b3-arfolyam-karbantarto-hibalista.md","Modul: Árfolyam-karbantartó hibalista","b3-arfolyam-karbantarto-hibalista","business","penztar-client","business","Magas","19","FR-HL-01;FR-HL-02;FR-HL-03;FR-HL-04;FR-HL-05;FR-HL-06;FR-HL-07;FR-HL-08;FR-HL-09;FR-HL-10;FR-HL-11;FR-HL-12;FR-HL-13;FR-HL-14;FR-HL-15;FR-HL-16;FR-HL-17;FR-HL-18;FR-HL-19"
"EXCMD/b3-bank-api.md","Modul: Banki API integráció","b3-bank-api","business","penztar-client","business","Magas","2","FR-API-01;FR-API-02"
"EXCMD/b3-engedelyezes-adatok.md","Modul: Tranzakció-engedélyezéshez szükséges adatok","b3-engedelyezes-adatok","business","penztar-client","business","Magas","8","FR-AUTH-01;FR-AUTH-02;FR-AUTH-03;FR-AUTH-04;FR-AUTH-05;FR-AUTH-06;FR-AUTH-07;FR-AUTH-08"
"EXCMD/b3b-erb-egyedi-kotas.md","ERB Egyedi kötés (Raiffeisen bankkártyás szerződéskötési képernyő)","b3b-erb-egyedi-kotas","bank-integracio","penztar-client","business","Magas","4","FR-ERB-01;FR-ERB-02;FR-ERB-03;FR-ERB-04"
"EXCMD/b5-kezeles-cimletezes-engedelyezes.md","Modul: Régi Delphi valutaprogram — Kezelési költség, címletezés, engedélyezés","b5-kezeles-cimletezes-engedelyezes","business","penztar-client","business","Magas","2","FR-KC-15;FR-KC-16"
"EXCMD/b5b-bizonylat-szures.md","Bizonylatok szűrése képernyő","b5b-bizonylat-szures","bizonylatok","penztar-client","business","Magas","5","FR-BSZUR-01;FR-BSZUR-02;FR-BSZUR-03;FR-BSZUR-04;FR-BSZUR-05"
"EXCMD/b6b-egyeb-feladatok-menu.md","Egyéb feladatok menü (NAV pénztárgép + OTP POS + adatlapok)","b6b-egyeb-feladatok-menu","penztar-muveletek","penztar-client","business","Magas","4","FR-EFM-01;FR-EFM-02;FR-EFM-03;FR-EFM-04"
