relpath,ext,size,status
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Dokumentumok\Banki import TXT fájl ügyfeles ZÁLOG ZA20241029.csv",csv,6802,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Dokumentumok\Ügyfeles jelentés_ BE20241026.csv",csv,30254,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Dokumentumok\Banki import TXT fájl ügyfeles ZÁLOG ZA20241029.csv",csv,6802,PENDING
"Kósa Szervezés\Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Dokumentumok\Ügyfeles jelentés_ BE20241026.csv",csv,30254,PENDING
Cégcsoport felmérése\Árfolyamkészítő programról\Követelménylista - Árfolyamkészítés.docx,docx,10502,PENDING
Cégcsoport felmérése\Igényfelmérési interjú\Kósa cégcsoport első igényfelmérési kérdések.docx,docx,850634,PENDING
Cégcsoport felmérése\Igényfelmérési interjú\RSL 2. Igényfelmérési interjú összefoglaló 2024.02.15_.docx,docx,863274,PENDING
Cégcsoport felmérése\Igényfelmérési interjú\RSL Igényfelmérési interjú összefoglaló 2024.02.12_.docx,docx,860124,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Békéscsaba Kliens.docx,docx,1459322,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Békéscsaba Zálog.docx,docx,1231334,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Debrecen hátsó vezetői gép.docx,docx,177424,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Debrecen zálog kliensgép.docx,docx,93196,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Debrecen zálog szerver gép(1).docx,docx,141003,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Debrecen zálog szerver gép.docx,docx,141003,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Dombóvár hátsó gép(1).docx,docx,212072,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Dombóvár hátsó gép(2).docx,docx,212072,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Dombóvár hátsó gép.docx,docx,212072,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Dombóvár zálog fő gép(1).docx,docx,207009,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Dombóvár zálog fő gép.docx,docx,207009,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Dombóvár zálog kliens.docx,docx,198166,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Fehérgyarmat Zálog.docx,docx,141271,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Fehérgyarmat kereskedelmi gép.docx,docx,135568,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Hódmezővásárhely Zálog.docx,docx,128735,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Kaposvár Zálog kliens gép.docx,docx,252765,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Kaposvár admin pc(1).docx,docx,263399,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Kaposvár admin pc(2).docx,docx,263399,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Kaposvár admin pc.docx,docx,263399,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Kecskemét Vezetői gép.docx,docx,199458,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Kisvárda vezetői gép.docx,docx,1136176,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Komló Vezetői gép.docx,docx,228377,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Mátészalka Zálog kliens(1).docx,docx,224431,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Mátészalka Zálog kliens.docx,docx,224431,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Nyíregyháza Zálog kliens.docx,docx,171447,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Nyíregyháza Zálog server.docx,docx,172773,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Pécs Diana Andi hátsó gép DELL.docx,docx,105769,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Pécs Diana Norbi laptopja.docx,docx,106831,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Pécs Diana Zálog szerver.docx,docx,113373,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Pécs Rákóczi Vezetői gép(1).docx,docx,261828,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Pécs Rákóczi Vezetői gép.docx,docx,261828,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Pécs Ybl Vezetőségi gép.docx,docx,216678,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Pécs Ybl becsüsi gép.docx,docx,102813,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Szekszárd Ékszerbolt(1).docx,docx,230280,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Szekszárd Ékszerbolt.docx,docx,230280,PENDING
Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Szolnok vezetőségi gép.docx,docx,1597963,PENDING
Kósa Szervezés\Cégcsoport felmérése\Árfolyamkészítő programról\Követelménylista - Árfolyamkészítés.docx,docx,10502,PENDING
Kósa Szervezés\Cégcsoport felmérése\Igényfelmérési interjú\Kósa cégcsoport első igényfelmérési kérdések.docx,docx,848766,PENDING
Kósa Szervezés\Cégcsoport felmérése\Igényfelmérési interjú\RSL 2. Igényfelmérési interjú összefoglaló 2024.02.15_.docx,docx,863274,PENDING
Kósa Szervezés\Cégcsoport felmérése\Igényfelmérési interjú\RSL Igényfelmérési interjú összefoglaló 2024.02.12_.docx,docx,860124,PENDING
Kósa Szervezés\Cégcsoport felmérése\RSL – EXZ + EXV üzemeltetési megbeszélés 2024. 03. 22_.docx,docx,302045,PENDING
Kósa Szervezés\Kósa cégcsoport fejlesztés lépései.docx,docx,86325,PENDING
Kósa Szervezés\Specifikációk\Névtelen dokumentum.docx,docx,8764,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Békéscsaba Kliens.docx,docx,1459322,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Békéscsaba Zálog.docx,docx,1231334,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Debrecen hátsó vezetői gép.docx,docx,177424,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Debrecen zálog kliensgép.docx,docx,93196,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Debrecen zálog szerver gép.docx,docx,141003,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Dombóvár hátsó gép.docx,docx,212072,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Dombóvár zálog fő gép.docx,docx,207009,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Dombóvár zálog kliens.docx,docx,198166,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Fehérgyarmat Zálog.docx,docx,141271,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Fehérgyarmat kereskedelmi gép.docx,docx,135568,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Hódmezővásárhely Zálog.docx,docx,128735,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Kaposvár Zálog kliens gép.docx,docx,252765,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Kaposvár admin pc.docx,docx,263399,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Kecskemét Vezetői gép.docx,docx,199458,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Kisvárda vezetői gép.docx,docx,1136176,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Komló Vezetői gép.docx,docx,228377,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Mátészalka Zálog kliens.docx,docx,224431,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Nyíregyháza Zálog kliens.docx,docx,171447,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Nyíregyháza Zálog server.docx,docx,172773,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Pécs Diana Andi hátsó gép DELL.docx,docx,105769,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Pécs Diana Norbi laptopja.docx,docx,106831,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Pécs Diana Zálog szerver.docx,docx,113373,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Pécs Rákóczi Vezetői gép.docx,docx,261828,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Pécs Ybl Vezetőségi gép.docx,docx,216678,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Pécs Ybl becsüsi gép.docx,docx,102813,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Szekszárd Ékszerbolt.docx,docx,230280,PENDING
Kósa Tervezés és fejlesztés\Hálózati és számítógép felmérés\Dokumentumok hálózati és számítógép felméréshez\Szolnok vezetőségi gép.docx,docx,1597963,PENDING
Kósa Tervezés és fejlesztés\Segédanyagok Valuta\Engedélyezéshez szükséges adatok.docx,docx,12793,PENDING
Kósa Tervezés és fejlesztés\Segédanyagok Valuta\Foglaló felvétele.docx,docx,12755,PENDING
Szervezés\Kósa cégcsoport fejlesztés lépései.docx,docx,86325,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Bizonylatok\2024. március. 1. havi dekádzárás.jpeg",jpeg,4038593,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Bizonylatok\Zárás-Értéktár.jpeg",jpeg,6333970,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Bizonylatok\pénztári átvétel.jpeg",jpeg,3829843,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások csak jelszóval_ alapfunkció.jpeg",jpeg,120447,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások külön jelszóval_ Alapfunkciók.jpeg",jpeg,115381,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások külön jelszóval_ Alkalmazások .jpeg",jpeg,224694,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások külön jelszóval_ Árfolyam kijelző beállításai.jpeg",jpeg,204854,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások külön jelszóval_ IP cím beállítás.jpeg",jpeg,151005,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások külön jelszóval_ adatok beküldése a szerverre.jpeg",jpeg,158385,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások külön jelszóval_ nyomtató beállítás.jpeg",jpeg,150938,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások külön jelszóval_ szkenner beállítás.jpeg",jpeg,136049,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Beállítások menü külön jelszóval.jpeg",jpeg,123670,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Bizonylatok szűrése.jpeg",jpeg,222876,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Bizonylatok szűrése2.jpeg",jpeg,199158,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Dekédzárás.jpeg",jpeg,161869,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Egyéb feladatok menü(1).jpeg",jpeg,190118,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Egyéb feladatok menü.jpeg",jpeg,215671,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Különféle listák menü .jpeg",jpeg,146293,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Messenger_creation_2379dd5f-04ce-4683-8347-41c85e1e7153.jpeg",jpeg,119718,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Messenger_creation_26016104-5f16-4310-b260-ca580f7d7714.jpeg",jpeg,209192,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Messenger_creation_2ecc1a32-0d7e-4955-9c79-40dd7aa746a3.jpeg",jpeg,105939,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Messenger_creation_395d793b-80d1-490d-b777-a3b997ce5c52.jpeg",jpeg,194083,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Messenger_creation_490e4846-3506-4d7a-b2a4-66ac739f016c.jpeg",jpeg,141481,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Messenger_creation_53216ab7-60e7-4c64-9c7c-9b28a7c3390e.jpeg",jpeg,189043,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Messenger_creation_da19dd8d-fc37-48a3-8891-c40fba16cbf2.jpeg",jpeg,159456,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Messenger_creation_f00c9b01-9af7-4673-99a7-a549ef5351f8.jpeg",jpeg,174474,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Napi összefoglaló (X).jpeg",jpeg,146685,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Összesített pénztárforgalom lekérdező menü.jpeg",jpeg,135476,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pénz átvétele egy egységtől menü .jpeg",jpeg,257429,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pénztárak karbantartása .jpeg",jpeg,195293,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pénztárak karbantartása 2.jpeg",jpeg,157504,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pénztárak közötti pénzforgalom főmenüje.jpeg",jpeg,221681,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pénztárak közötti szállításhoz.jpeg",jpeg,283881,PENDING
"Cégcsoport felmérése\Személyes találkozó összefoglalók, kapott dokumentumok, képernyőképek\Képernyőképek\Pénztárátvétele egy egységtől menü2.jpeg",jpeg,238074,PENDING
