modul,fo_dpr,fo_pas,pas_meret
ADATLAP,?,,0
AFATABLA,?,,0
ARFDISP,?,,0
ARFREG,?,,0
ARFTMK,?,,0
ARFVALT,DLL\ARFVALT\MAKEDLL\Arfvalt.dpr,DLL\ARFVALT\MAKEDLL\Unit2.pas,8026
ATADOLAP,DLL\ATADOLAP\MAKEDLL\Atadolap.dpr,DLL\ATADOLAP\MAKEDLL\unit2.pas,64218
ATADVET,DLL\ATADVET\MAKEDLL\Atadvet.dpr,DLL\ATADVET\MAKEDLL\Unit2.pas,138378
BIGARFVALT,DLL\BIGARFVALT\MAKEDLL\BigArfValt.dpr,DLL\BIGARFVALT\MAKEDLL\Unit2.pas,11291
BIGCTRL,DLL\BIGCTRL\MAKEDLL\Bigctrl.dpr,DLL\BIGCTRL\MAKEDLL\Unit2.pas,45715
BIZODISP,DLL\BIZODISP\MAKEDLL\Bizodisp.dpr,DLL\BIZODISP\MAKEDLL\Unit2.pas,47582
BLOKNYOM,DLL\BLOKNYOM\MAKEDLL\Bloknyom.dpr,DLL\BLOKNYOM\MAKEDLL\Unit2.pas,58482
CHECKLST,DLL\CHECKLST\MAKEDLL\Checklst.dpr,DLL\CHECKLST\MAKEDLL\Unit2.pas,14188
CIMLCTRL,DLL\CIMLCTRL\MAKEDLL\CimlCtrl.dpr,DLL\CIMLCTRL\MAKEDLL\Unit2.pas,12016
CIMLET,DLL\CIMLET\MAKEDLL\Cimlet.dpr,DLL\CIMLET\MAKEDLL\Unit2.pas,33440
CIMLMENU,DLL\CIMLMENU\MAKEDLL\CIMLMENU.DPR,DLL\CIMLMENU\MAKEDLL\Unit2.pas,6333
CIMLNYOM,DLL\CIMLNYOM\MAKEDLL\CimlNyom.dpr,DLL\CIMLNYOM\MAKEDLL\Unit2.pas,19719
CIMSETUP,DLL\CIMSETUP\MAKEDLL\Cimsetup.dpr,DLL\CIMSETUP\MAKEDLL\Unit2.pas,29279
CONFIDEN,DLL\CONFIDEN\MAKEDLL\Confi.dpr,DLL\CONFIDEN\MAKEDLL\Unit2.pas,7760
CONFIRM,DLL\CONFIRM\MAKEDLL\confirm.dpr,DLL\CONFIRM\MAKEDLL\Unit2.pas,3234
COPY2FTP,DLL\COPY2FTP\MAKEDLL\COPY2FTP.DPR,DLL\COPY2FTP\MAKEDLL\Unit2.pas,2865
DEKRUTIN,DLL\DEKRUTIN\MAKEDLL\dekad.dpr,DLL\DEKRUTIN\MAKEDLL\Unit2.pas,33845
DOCDISP,DLL\DOCDISP\MAKEDLL\Docdisp.dpr,DLL\DOCDISP\MAKEDLL\Unit2.pas,6299
ELADAS,DLL\ELADAS\MAKEDLL\Eladas.dpr,DLL\ELADAS\MAKEDLL\Unit2.pas,136912
