"Module","Ext","Count"
"camera",".ini","1"
"camera2",".bat","2"
"camera2",".fxml","40"
"camera2",".java","238"
"camera2",".properties","37"
"camera2",".ps1","4"
"camera2",".sql","2"
"camera2",".xml","16"
"camera3",".bat","2"
"camera3",".cs","5"
"camera3",".fxml","200"
"camera3",".java","1376"
"camera3",".js","10"
"camera3",".properties","60"
"camera3",".ps1","2"
"camera3",".sql","4"
"camera3",".xml","187"
"firebird",".bat","1"
"VALUTA",".cfg","217"
"VALUTA",".dfm","419"
"VALUTA",".dpr","279"
"VALUTA",".ini","1"
"VALUTA",".pas","420"
"VALUTA",".xml","1"
