legacy_table_family,legacy_role,modern_tables,entity_paths,migration_paths,primary_services,mapping_type,confidence
IRODAK,Branch master data,branch,backend/src/main/java/hu/puzzleir/valuta/entity/Branch.java,"backend/src/main/resources/db/migration/V0_1__base_tables.sql;backend/src/main/resources/db/migration/V95__branch_region_code.sql",BranchService.java,"1:1 core + enriched",documented
ARFOLYAM,Buy sell settlement rates,exchange_rate,backend/src/main/java/hu/puzzleir/valuta/entity/ExchangeRate.java,"backend/src/main/resources/db/migration/V3__create_transaction_tables.sql;backend/src/main/resources/db/migration/V100__rate_management_multi_tenant_and_limits.sql",ExchangeRateService.java,1:N,documented
BLOKKFEJ,Receipt header,"receipt;transaction","backend/src/main/java/hu/puzzleir/valuta/entity/Receipt.java;backend/src/main/java/hu/puzzleir/valuta/entity/Transaction.java","backend/src/main/resources/db/migration/V3__create_transaction_tables.sql;backend/src/main/resources/db/migration/V42__receipt_sequence_and_rounding.sql",TransactionService.java,1:N,documented
BLOKKTETEL,Receipt line,transaction_line,backend/src/main/java/hu/puzzleir/valuta/entity/TransactionLine.java,backend/src/main/resources/db/migration/V3__create_transaction_tables.sql,TransactionService.java,"1:1 logical",documented
BFyyMM,Monthly receipt archive,"archived_transaction;archive tables",backend/src/main/java/hu/puzzleir/valuta/entity/ArchivedTransaction.java,"backend/src/main/resources/db/migration/V44__monthly_archive.sql;backend/src/main/resources/db/migration/V138__daily_closing_archive_tables.sql",archive services,N:1 normalized,code-inferred
BTyyMM,Monthly line archive,"archived_transaction;archive tables",backend/src/main/java/hu/puzzleir/valuta/entity/ArchivedTransaction.java,"backend/src/main/resources/db/migration/V44__monthly_archive.sql;backend/src/main/resources/db/migration/V138__daily_closing_archive_tables.sql",archive services,N:1 normalized,code-inferred
DAYB{YYMM},Daybook matrix,"daily_session;closing_control","backend/src/main/java/hu/puzzleir/valuta/entity/DailySession.java;backend/src/main/java/hu/puzzleir/valuta/entity/ClosingControl.java","backend/src/main/resources/db/migration/V11__closing_control.sql;backend/src/main/resources/db/migration/V104__daily_checklist.sql;backend/src/main/resources/db/migration/V138__daily_closing_archive_tables.sql",DailyClosingService.java,behavior-only normalized,code-inferred
MNB,Closing and MNB reporting,"daily_balance;mnb_report;mnb_report_line","backend/src/main/java/hu/puzzleir/valuta/entity/DailyBalance.java;backend/src/main/java/hu/puzzleir/valuta/entity/MnbReport.java;backend/src/main/java/hu/puzzleir/valuta/entity/MnbReportLine.java","backend/src/main/resources/db/migration/V6__mnb_reports.sql;backend/src/main/resources/db/migration/V45__daily_balance.sql;backend/src/main/resources/db/migration/V137__daily_balance_mnb_fields.sql",MnbReportService.java,1:N,documented
CIMTAR,Denomination inventory,"denomination;denomination_balance;daily_denomination_snapshot","backend/src/main/java/hu/puzzleir/valuta/entity/Denomination.java;backend/src/main/java/hu/puzzleir/valuta/entity/DenominationBalance.java;backend/src/main/java/hu/puzzleir/valuta/entity/DailyDenominationSnapshot.java","backend/src/main/resources/db/migration/V81__vault_ertektar_tables.sql;backend/src/main/resources/db/migration/V129__transaction_banknote_table.sql",treasury denomination services,1:N,documented
HARDWARE,Workstation and open-close state,"workstation;closing_control","backend/src/main/java/hu/puzzleir/valuta/entity/Workstation.java;backend/src/main/java/hu/puzzleir/valuta/entity/ClosingControl.java","backend/src/main/resources/db/migration/V11__closing_control.sql;backend/src/main/resources/db/migration/V43__pos_terminal_config.sql",open-close services,1:N,code-inferred
WUNI*,Western Union,wu_transaction,backend/src/main/java/hu/puzzleir/valuta/entity/WuTransaction.java,"backend/src/main/resources/db/migration/V91__wu_transaction_status_enum_and_constraints.sql;backend/src/main/resources/db/migration/V96__wu_company_id.sql;backend/src/main/resources/db/migration/V99__wu_customer_unique_constraint.sql",WesternUnionService.java,1:N,documented
WAFA*,WU AFA,daily_wu_afa_transaction,backend/src/main/java/hu/puzzleir/valuta/entity/DailyWuAfaTransaction.java,backend/src/main/resources/db/migration/V132__vat_refund_transaction.sql,WU AFA service stack,"1:1 logical",documented
TRADyyMM,Trade monthly data,trade,legacy modern trade stack,backend/src/main/resources/db/migration/V26__trades.sql,trade services,N:1,code-inferred
RENDSZER,System parameters,system_parameter,backend/src/main/java/hu/puzzleir/valuta/entity/SystemParameter.java,multiple base and system migrations,settings services,"1:N split",code-inferred
VTEMP,DLL staging,no direct table,no direct entity,no migration,DTO and service state,replaced-by-api,documented
