relative_path,area,provenance,extension,filename,basename,size_bytes,cluster,inferred_function,source_hint
Anti\ARFOLYAM\Arfolyam.exe,ARFOLYAM,original,.exe,Arfolyam.exe,Arfolyam,1170432,rates,Arfolyam kezeles es rates tooling,Anti\ARFOLYAM\ARFOLYAM\Arfolyam.dpr
Anti\ARFOLYAM\ARFOLYAM\Arfolyam.exe,ARFOLYAM,original,.exe,Arfolyam.exe,Arfolyam,1170432,rates,Arfolyam kezeles es rates tooling,Anti\ARFOLYAM\ARFOLYAM\Arfolyam.dpr
Anti\VALUTA\DLL\_BASEDLL\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,389120,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\Arfvalt.dll,VALUTA,original,.dll,Arfvalt.dll,Arfvalt,699392,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\ARFVALT\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,701440,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\ARFVALT\MAKEDLL\Arfvalt.dll,VALUTA,original,.dll,Arfvalt.dll,Arfvalt,698880,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\ATADOLAP\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,804352,vault-transfer,Atadolap es handover dokumentum,
Anti\VALUTA\DLL\ATADOLAP\MAKEDLL\Atadolap.dll,VALUTA,original,.dll,Atadolap.dll,Atadolap,801280,vault-transfer,Atadolap es handover dokumentum,
Anti\VALUTA\DLL\ATADVET\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,1430528,vault-transfer,Penztarak vagy ertektarak kozotti atadas-atvetel,
Anti\VALUTA\DLL\ATADVET\MAKEDLL\Atadvet.dll,VALUTA,original,.dll,Atadvet.dll,Atadvet,1427968,vault-transfer,Penztarak vagy ertektarak kozotti atadas-atvetel,
Anti\VALUTA\DLL\BIGARFVALT\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,705024,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\BIGARFVALT\MAKEDLL\BigArfValt.dll,VALUTA,original,.dll,BigArfValt.dll,BigArfValt,702464,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\BIGCTRL\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,726528,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\BIGCTRL\MAKEDLL\Bigctrl.dll,VALUTA,original,.dll,Bigctrl.dll,Bigctrl,717824,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\BIZODISP\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,1022464,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\BIZODISP\EXEPROBA\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,389120,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\BIZODISP\MAKEDLL\Bizodisp.dll,VALUTA,original,.dll,Bizodisp.dll,Bizodisp,1020416,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\BLOKNYOM\DEBUG\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,704000,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\BLOKNYOM\exeproba\Project1.exe,VALUTA,original,.exe,Project1.exe,Project1,411648,legacy-dll,Legacy plugin vagy shared library,
Anti\VALUTA\DLL\BLOKNYOM\MAKEDLL\Bloknyom.dll,VALUTA,original,.dll,Bloknyom.dll,Bloknyom,692224,legacy-dll,Legacy plugin vagy shared library,
