legacy_area,legacy_module,legacy_cluster,legacy_role,source_hint,modern_service,modern_controller,modern_ui,test_target,parity_status,risk,notes
VALUTA,vasarlas,transaction-buy,valuta vetel,Anti\VALUTA\DLL\VASARLAS\MAKEDLL,TransactionService,TransactionController,frontend-react/src/pages/transactions/TransactionPage.tsx,backend/src/test/java/hu/puzzleir/valuta/integration/TransactionFlowTest.java,full,P0,
VALUTA,eladas,transaction-sell,valuta eladas,Anti\VALUTA\DLL\ELADAS\MAKEDLL,TransactionService,TransactionController,frontend-react/src/pages/transactions/TransactionPage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/TransactionServiceBusinessLogicTest.java,full,P0,
VALUTA,storno,storno,sztorno,Anti\VALUTA\DLL\STORNO\MAKEDLL,StornoService,StornoController,frontend-react/src/pages/stornos/StornoPage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/StornoServiceTest.java,full,P0,
VALUTA,napzar,closing,napi zaras,Anti\VALUTA\DLL\NAPZAR\MAKEDLL,DailyClosingService,closing endpoints,frontend-react/src/pages/closing/EveningClosingPage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/DailyClosingServiceExtendedTest.java,full,P0,
VALUTA,havizar,closing,havi zaras,Anti\VALUTA\DLL\HAVIZAR\MAKEDLL,MonthlyClosingService,closing endpoints,frontend-react/src/pages/closing/MonthlyClosingPage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/MonthlyClosingServiceTest.java,full,P1,
VALUTA,arftmk,rates,arfolyam karbantartas,Anti\VALUTA\DLL\ARFTMK\MAKEDLL,ExchangeRateService,ExchangeRateController,frontend-react/src/pages/rates/RatesPage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/ExchangeRateServiceTest.java,full,P0,
VALUTA,getarf,rates-sync,legacy rate file ingest,Anti\VALUTA\DLL\GETARF\MAKEDLL,RateFileParserService;RatePublishService,ExchangeRateController,frontend-react/src/pages/rates/RatesPage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/RateFileParserServiceTest.java,partial,P0,legacy DAT vs text format
VALUTA,arfreg,rates,arfolyam regiszter,Anti\VALUTA\DLL\ARFREG\MAKEDLL,ExchangeRateService,ExchangeRateController,frontend-react/src/pages/rates/RatesPage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/RateApprovalServiceTest.java,partial,P1,
VALUTA,atadvet,vault-transfer,atadas-atvetel,Anti\VALUTA\DLL\ATADVET\MAKEDLL,VaultTransferService;TransferService,ErtektarController;TransferController,frontend-react/src/pages/transfers/TransferPage.tsx,backend/src/test/java/hu/puzzleir/valuta/service/TransferCounterTransactionTest.java,full,P0,
VALUTA,atadolap,vault-transfer,atadolap,Anti\VALUTA\DLL\ATADOLAP\MAKEDLL,HandoverSheetService,ErtektarController,frontend-react/src/pages/handover/HandoverSheetPage.tsx,backend/src/test/java/hu/puzzleir/valuta/entity/HandoverSheetTest.java,full,P0,
