
check                        status output                                     
-----                        ------ ------                                     
nvd_api_key_check            PASSED D:\repo\valutavalto-program\security-rep...
backend_dependency_check     PASSED D:\repo\valutavalto-program\security-rep...
frontend_npm_audit_prod      PASSED D:\repo\valutavalto-program\security-rep...
electron_npm_audit_prod      PASSED D:\repo\valutavalto-program\security-rep...
hardcoded_secrets_scan       PASSED D:\repo\valutavalto-program\security-rep...
weak_crypto_scan             PASSED D:\repo\valutavalto-program\security-rep...
electron_dangerous_apis_scan PASSED D:\repo\valutavalto-program\security-rep...
sqli_pattern_scan            PASSED D:\repo\valutavalto-program\security-rep...
react_xss_patterns_scan      PASSED D:\repo\valutavalto-program\security-rep...
node_dangerous_runtime_scan  PASSED D:\repo\valutavalto-program\security-rep...



