
check                        status output                            
-----                        ------ ------                            
nvd_api_key_check            PASSED D:\repo\valutavalto-program\sec...
backend_dependency_check     PASSED D:\repo\valutavalto-program\sec...
frontend_npm_audit_prod      PASSED D:\repo\valutavalto-program\sec...
electron_npm_audit_prod      PASSED D:\repo\valutavalto-program\sec...
hardcoded_secrets_scan       PASSED D:\repo\valutavalto-program\sec...
weak_crypto_scan             PASSED D:\repo\valutavalto-program\sec...
electron_dangerous_apis_scan PASSED D:\repo\valutavalto-program\sec...
sqli_pattern_scan            PASSED D:\repo\valutavalto-program\sec...
react_xss_patterns_scan      PASSED D:\repo\valutavalto-program\sec...
node_dangerous_runtime_scan  PASSED D:\repo\valutavalto-program\sec...



