
check                        status  output                                    
-----                        ------  ------                                    
nvd_api_key_check            PASSED  D:\repo\valutavalto-program\security-re...
backend_dependency_check     PASSED  D:\repo\valutavalto-program\security-re...
frontend_npm_audit_prod      PASSED  D:\repo\valutavalto-program\security-re...
electron_npm_audit_prod      PASSED  D:\repo\valutavalto-program\security-re...
python_pip_audit             BLOCKED D:\repo\valutavalto-program\security-re...
python_safety_check          FAILED  D:\repo\valutavalto-program\security-re...
hardcoded_secrets_scan       PASSED  D:\repo\valutavalto-program\security-re...
weak_crypto_scan             PASSED  D:\repo\valutavalto-program\security-re...
electron_dangerous_apis_scan PASSED  D:\repo\valutavalto-program\security-re...
sqli_pattern_scan            PASSED  D:\repo\valutavalto-program\security-re...
react_xss_patterns_scan      PASSED  D:\repo\valutavalto-program\security-re...
node_dangerous_runtime_scan  PASSED  D:\repo\valutavalto-program\security-re...
python_dangerous_api_scan    PASSED  D:\repo\valutavalto-program\security-re...



