
check                        status output                  
-----                        ------ ------                  
mandatory_db_preflight       FAILED D:\repo\valutavalto-p...
nvd_api_key_check            PASSED D:\repo\valutavalto-p...
backend_dependency_check     PASSED D:\repo\valutavalto-p...
frontend_npm_audit_prod      PASSED D:\repo\valutavalto-p...
electron_npm_audit_prod      PASSED D:\repo\valutavalto-p...
python_pip_audit             PASSED D:\repo\valutavalto-p...
python_safety_check          PASSED D:\repo\valutavalto-p...
hardcoded_secrets_scan       PASSED D:\repo\valutavalto-p...
weak_crypto_scan             PASSED D:\repo\valutavalto-p...
electron_dangerous_apis_scan PASSED D:\repo\valutavalto-p...
sqli_pattern_scan            PASSED D:\repo\valutavalto-p...
react_xss_patterns_scan      PASSED D:\repo\valutavalto-p...
node_dangerous_runtime_scan  PASSED D:\repo\valutavalto-p...
python_dangerous_api_scan    PASSED D:\repo\valutavalto-p...



